127.0.0.1 - - [27/Sep/2022:23:28:50 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [27/Sep/2022:23:28:50 +0530] "GET /spring-rest-demo/ HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [27/Sep/2022:23:28:52 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [27/Sep/2022:23:28:56 +0530] "GET /spring-rest-demo/test/hello HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [27/Sep/2022:23:32:04 +0530] "GET /spring-rest-demo/test/hello HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [27/Sep/2022:23:33:26 +0530] "GET /spring-rest-demo/ HTTP/1.1" 200 135
0:0:0:0:0:0:0:1 - - [27/Sep/2022:23:33:43 +0530] "GET /spring-rest-demo/ HTTP/1.1" 200 135
0:0:0:0:0:0:0:1 - - [27/Sep/2022:23:33:48 +0530] "GET /spring-rest-demo/ HTTP/1.1" 200 135
0:0:0:0:0:0:0:1 - - [27/Sep/2022:23:35:17 +0530] "GET /spring-rest-demo/ HTTP/1.1" 200 182
0:0:0:0:0:0:0:1 - - [27/Sep/2022:23:35:18 +0530] "GET /spring-rest-demo/test/hello HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [27/Sep/2022:23:36:00 +0530] "GET /spring-rest-demo/test/hello HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [27/Sep/2022:23:36:04 +0530] "GET /spring-rest-demo/test/hello HTTP/1.1" 200 12
